,Unnamed: 0,URL,Price,Dimensions,Disposition,Location,City,Street
0,0,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3782468172,13500,45,2+1,"Na Honech II, Zlín",Zlín,Na Honech II
1,1,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-malenovice-tecovska/1112744524,8300,26,1+kk,"Tečovská, Zlín - Malenovice",Zlín - Malenovice,Tečovská
2,3,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-lorencova/1472258636,18700,65,2+kk,"Lorencova, Zlín",Zlín,Lorencova
3,4,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-dlouha/1913504332,12000,56,2+1,"Dlouhá, Zlín",Zlín,Dlouhá
4,5,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-vysoka/2008138316,9000,25,1+1,"Vysoká, Zlín",Zlín,Vysoká
5,6,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-malenovice-zahradni/3143836236,14900,21,1+kk,"Zahradní, Zlín - Malenovice",Zlín - Malenovice,Zahradní
6,7,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-malenovice-tyrsova/2728141388,16000,68,3+1,"Tyršova, Zlín - Malenovice",Zlín - Malenovice,Tyršova
7,8,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/3600556620,25000,96,2+kk,"Lešetín I, Zlín",Zlín,Lešetín I
8,10,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-beckovska/481043020,17000,68,3+1,"Beckovská, Zlín",Zlín,Beckovská
9,11,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-vetrna/987308620,10000,34,1+1,"Větrná, Zlín",Zlín,Větrná
10,12,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-dukelska/1356603980,14000,48,2+1,"Dukelská, Zlín",Zlín,Dukelská
11,13,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-kudlov-vaclavska/1963905612,10000,58,2+1,"Václavská, Zlín - Kudlov",Zlín - Kudlov,Václavská
12,14,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-podlesi-v/2323300940,11500,36,1+1,"Podlesí V, Zlín",Zlín,Podlesí V
13,15,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-budovatelska/2434540108,16000,64,3+1,"Budovatelská, Zlín",Zlín,Budovatelská
14,16,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-malenovice-chelcickeho/722215500,15900,55,2+1,"Chelčického, Zlín - Malenovice",Zlín - Malenovice,Chelčického
15,17,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-/420225612,18000,96,3+1,Zlín,,Zlín
16,18,https://www.sreality.cz//detail/pronajem/byt/3+1/slusovice-slusovice-pod-veselou/1057759820,15000,115,3+1,"Pod Veselou, Slušovice",Slušovice,Pod Veselou
17,19,https://www.sreality.cz//detail/pronajem/byt/2+kk/frystak-frystak-komenskeho/1269887564,15500,57,2+kk,"Komenského, Fryšták",Fryšták,Komenského
18,20,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-malenovice-trida-svobody/1570579020,20690,64,2+kk,"třída Svobody, Zlín - Malenovice",Zlín - Malenovice,třída Svobody
19,21,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-zelinova/3870634572,14900,49,2+kk,"Zelinova, Zlín",Zlín,Zelinova
20,22,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-malenovice-trida-svobody/2694652492,14900,37,1+kk,"třída Svobody, Zlín - Malenovice",Zlín - Malenovice,třída Svobody
21,23,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-zarami/526201420,17500,60,2+kk,"Zarámí, Zlín",Zlín,Zarámí
22,24,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3869057612,15800,44,2+1,"Na Honech II, Zlín",Zlín,Na Honech II
23,26,https://www.sreality.cz//detail/pronajem/byt/2+1/otrokovice-otrokovice-havlickova/1204625996,14000,68,2+1,"Havlíčkova, Otrokovice",Otrokovice,Havlíčkova
24,27,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-ceska/1698574924,10400,33,1+1,"Česká, Zlín",Zlín,Česká
25,28,https://www.sreality.cz//detail/pronajem/byt/2+1/slusovice-slusovice-druzstevni/3678216780,9000,57,2+1,"Družstevní, Slušovice",Slušovice,Družstevní
26,29,https://www.sreality.cz//detail/pronajem/byt/2+kk/otrokovice-otrokovice-tr-spojencu/2033132108,12000,48,2+kk,"tř. Spojenců, Otrokovice",Otrokovice,tř. Spojenců
27,30,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-sadova/2004689484,18500,51,2+kk,"Sadová, Zlín",Zlín,Sadová
28,31,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-cihlarska/2523734604,16500,58,2+1,"Cihlářská, Zlín",Zlín,Cihlářská
29,32,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-lorencova/124592716,9500,28,1+kk,"Lorencova, Zlín",Zlín,Lorencova
30,33,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-podlesi-ii/2862490188,12000,30,1+kk,"Podlesí II, Zlín",Zlín,Podlesí II
31,35,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-na-honech-ii/1418601036,18500,56,2+kk,"Na Honech II, Zlín",Zlín,Na Honech II
32,36,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-l-vachy/1093284428,12800,55,2+kk,"L. Váchy, Zlín",Zlín,L. Váchy
33,37,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-l-vachy/442118732,12000,50,2+kk,"L. Váchy, Zlín",Zlín,L. Váchy
34,38,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-pasecka/2460148300,13500,29,1+kk,"Pasecká, Zlín",Zlín,Pasecká
35,39,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-kuty/3460969036,12000,29,1+kk,"Kúty, Zlín",Zlín,Kúty
36,40,https://www.sreality.cz//detail/pronajem/byt/2+kk/otrokovice-otrokovice-nam-3-kvetna/2405245516,17500,60,2+kk,"nám. 3. května, Otrokovice",Otrokovice,nám. 3. května
37,41,https://www.sreality.cz//detail/pronajem/byt/1+1/otrokovice-kvitkovice-/465510988,10000,45,1+1,Otrokovice - Kvítkovice,,Otrokovice - Kvítkovice
38,42,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-sadova/670573132,13500,40,1+kk,"Sadová, Zlín",Zlín,Sadová
39,43,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-prstne-l-vachy/267330124,16500,58,2+1,"L. Váchy, Zlín - Prštné",Zlín - Prštné,L. Váchy
40,44,https://www.sreality.cz//detail/pronajem/byt/3+kk/napajedla-napajedla-masarykovo-namesti/638923340,13000,66,3+kk,"Masarykovo náměstí, Napajedla",Napajedla,Masarykovo náměstí
41,45,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-dlouha/356459084,9000,36,1+1,"Dlouhá, Zlín",Zlín,Dlouhá
42,46,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-potoky/1788228172,11500,36,1+1,"Potoky, Zlín",Zlín,Potoky
43,47,https://www.sreality.cz//detail/pronajem/byt/1+1/otrokovice-otrokovice-nadrazni/1966023244,9600,38,1+1,"Nádražní, Otrokovice",Otrokovice,Nádražní
44,48,https://www.sreality.cz//detail/pronajem/byt/atypicky/zlin-prstne-l-vachy/617361996,7500,19,atypický,"L. Váchy, Zlín - Prštné",Zlín - Prštné,L. Váchy
45,49,https://www.sreality.cz//detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/2774475340,10500,21,pokoje,"tř. Spojenců, Otrokovice",Otrokovice,tř. Spojenců
46,50,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-malenovice-trida-svobody/968368716,12000,48,2+1,"třída Svobody, Zlín - Malenovice",Zlín - Malenovice,třída Svobody
47,51,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-louky-zadni-luhy/4022870604,12900,44,2+kk,"Zadní luhy, Zlín - Louky",Zlín - Louky,Zadní luhy
48,52,https://www.sreality.cz//detail/pronajem/byt/3+kk/zlin-zlin-dlouha/4140311116,19000,110,3+kk,"Dlouhá, Zlín",Zlín,Dlouhá
49,53,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-sadova/670573132,13500,40,1+kk,"Sadová, Zlín",Zlín,Sadová
